countryname,code,cum_excess_who_2023release,cumexcesswho_per100k,excess_deaths_ihme,excess_death_rate_ihme,poptot2020,logmedianage,logpop20,malesper100females,pctpobciudades50khab,loggdppercapita2019,pctinformaloutput2019,pctgovthealthexpgdp2019_who,pctprivatehealthexpgdp2019,haqindex2019,avg_ihrcorecapacitiesscores2019,prematuredeathsncds_2019,pctobesemen2019,pctobesewomen2019,pctmen30_79hypertension2019,pctwomen30_79hypertension2019,diabetesprevalence2021
Afghanistan,AFG,65733.35799999999,171.51102,192000,211.9,38326027,2.9231615,17.461639,102.202031849572,23.850327,7.6400857,,.5,14.33,28.86635378,43,63.32,12.42,19.82,35.3,45.3,10.9
Algeria,DZA,77630.57543,180.15501,54400,65.09999999999999,43090987,3.3707383,17.578825,103.859172883093,27.724165,9.3611097,31.16307067871094,3.69,2.1800001,58.66345256,80,35.14,14.18,30.59,35,37.4,7.1
Angola,AGO,10995.61487,33.42234,64000,107.3,32898997,2.8213789,17.308952,97.6328350056348,76.76902,8.7951918,44.17840194702148,1.12,1.36,29.30257277,63,63.02,5.54,14.97,36.5,40.8,4.6
Argentina,ARG,126659.8807,282.04025,142000,166.8,44908441,3.462606,17.620136,98.05782096878779,86.995987,10.002053,24.25223350524902,6.08,3.96,59.87611148,61,26.91,31.45,33.34,54,41.2,5.4
Australia,AUS,1403.636732,5.4949379,-18100,-37.6,25544179,3.6349511,17.05592,98.44006820651749,74.402283,10.807282,13.78932285308838,7.54,2.6800001,90.17535057000001,92,18.56,29.53,28.09,32.3,26.3,6.4
Austria,AUT,15973.50789,179.45532,18300,107.5,8901106,3.7932394,16.001686,96.80754052838979,34.11533,10.929645,9.312885284423828,7.85,2.6400001,87.96615104999999,67,14.35,17.57,12.2,37.5,30.2,4.6
Azerbaijan,AZE,33620.74105,327.25604,53500,271.5,10273528,3.4781585,16.145081,97.4803043234718,38.913372,9.577899,53.42282867431641,1.07,3.1099999,53.28104234,87,34.78,17.22,31.67,39.6,42.1,5.6
Bangladesh,BGD,160749.1685,96.588402,413000,134.7,166426993,3.3141861,18.930067,98.5748831615321,25.031775,8.6065235,33.66743087768555,.45,1.8099999,44.09301188,67,42.91,2.37,6.18,23.5,34.2,14.2
Belarus,BLR,50836.73832,526.20337,85600,483.1,9661044,3.6963515,16.083612,85.8135340038442,59.624218,9.8667822,42.53923416137695,4.13,1.73,71.22982777,0,21.88,18.53,23.11,51.6,46.6,5.6
Belgium,BEL,20334.5953,176.19023,32800,146.6,11541273,3.7328963,16.26144,97.3459564505883,41.102135,10.858561,20.95722961425781,8.119999999999999,2.6700001,86.60318178999999,84,15.73,18.54,19.93,33.8,26.1,3.6
Benin,BEN,3950.28279,31.686373,8250,33.6,12466819,2.933857,16.338581,100.224914997086,64.239128,8.0571995,44.96432113647461,.31,2.2,31.40345896,35,58.66,6.18,13.7,28.9,33,1.1
Bolivia,BOL,80909.33017,682.06854,161000,734.9,11862346,3.2347491,16.288879,100.946549508703,85.345497,9.051198,62.42428207397461,4.9,1.99,40.51239612,0,33.37,20.28,31.56,29.4,27.2,5.5
Bosnia and Herzegovina,BIH,19557.1595,585.37299,20900,333.9,3340974,3.7495041,15.021773,96.7390671215294,43.744656,9.5911531,30.30138397216797,6.13,2.8,68.62910863,35,22.31,19.51,19.97,46.9,41.3,9.1
Brazil,BRA,657425.9003,309.28238,792000,186.9,212564935,3.5115454,19.174759,96.7089154577924,72.846069,9.5945902,38.89684295654297,3.92,5.6900001,52.97481684,87,37.94,21.44,28.71,47.9,42.1,8.800000000000001
Bulgaria,BGR,60519.47501,862.0719,82500,647.3,7020235,3.7999735,15.764307,94.1980949260213,60.409847,10.05493,31.79991722106934,4.19,2.9000001,64.86158285,72,20.51,21.78,17.37,49.4,40.7,7.4
Burkina Faso,BFA,8940.187856,42.107353,21400,51,21231893,2.8678989,16.871016,99.1529201304801,19.8181,7.6544728,37.58677673339844,2.22,3.0999999,28.46234423,44,67.59999999999999,3.35,7.69,29.1,31.7,2.1
Burundi,BDI,2985.751694,24.770012,4310,19.8,12053897,2.862201,16.304899,98.5572922936983,9.6442213,6.5925765,40.51318359375,2.28,6.77,25.83942002,47,67.09999999999999,5.03,3.5,32.5,35.6,6.5
Cambodia,KHM,9105.872579000001,55.877003,17500,52.5,16296280,3.2425923,16.606447,97.98181929673819,19.049166,8.4038668,43.4327278137207,1.67,5.1799998,38.040249,50,55.15,2.5,4.63,25.8,25.4,7.3
Cameroon,CMR,20864.50797,79.827087,41300,70.3,26137129,2.933857,17.078867,99.44795528903541,56.452999,8.231245,29.73612022399902,.41,3.24,33.72569358,42,67.81999999999999,8.539999999999999,18.89,34.8,38.6,5.5
Canada,CAN,26500.73276,70.18531,43700,60.5,37758232,3.7232809,17.446714,98.72731390286221,79.941757,10.80307,14.96130847930908,7.65,3.3599999,90.68876720999999,99,21.42,26.84,24.61,24.3,19.9,7.7
Central African Republic,CAF,6451.834257,122.37865,14100,118.4,5272026,2.9069011,15.477925,100.091397162828,30.291185,6.7589846,43.40559768676758,.82,6.9400001,15.16030482,17,61.88,5.15,10.79,39.5,42.8,5.8
Chad,TCD,9767.13067,59.631359,15200,47,16379185,2.8154087,16.611523,100.781594323935,10.863613,7.3537202,43.5595703125,.7,3.8900001,23.7514524,30,67.03,6.5,5.26,35.1,40.7,5.8
Chile,CHL,38665.97691,201.31517,37200,108.2,19206688,3.5667119,16.770769,98.5537978793902,90.454964,10.119268,18.40979957580566,4.77,4.5900002,70.88287819999999,76,26.21,30.46,41.39,39,33.1,10.8
China,CHN,-52105.21636,-3.6590793,17900,.6,1423998019,3.6558397,21.076735,104.560583166723,98.420586,9.6789532,11.64758682250977,3,2.3499999,70.24469569999999,93,30.68,7.13,6.56,30.2,24.1,10.6
Colombia,COL,162218.5708,320.48221,179000,201.2,50617028,3.4719665,17.739799,97.52518148194871,80.030281,9.5898809,34.57027816772461,5.44,2.3399999,61.09595348,69,32.61,16.54,27.03,31.1,30.8,8.300000000000001
Congo,COG,3497.017037,62.055695,11700,117.2,5635288,2.9444389,15.544559,99.7408908885849,53.921936,8.2147522,49.18213653564453,1.11,1.4299999,33.95312845,33,58.02,3.79,12.3,38,41.5,5.5
Costa Rica,CRI,5442.387071,106.60146,6220,70,5105359,3.5145261,15.445802,100.323837463103,41.160553,9.9435759,24.95488166809082,5.24,1.98,64.68243751,77,33.86,23.29,35.3,36,39.4,8.800000000000001
